KALCODE,Population2021
2905030105,27.0
2905030109,53.0
2905030107,26.0
2905010203,56.0
2905010303,10.0
2905010302,122.0
2905030504,17.0
2905030506,5.0
5401010119,117.0
5401010202,1.0
5401010205,73.0
5401010206,33.0
5602010302,0.0
1901010104,48.0
1806040902,19.0
1806011602,4.0
1806011002,2.0
1808041502,10.0
1808041003,16.0
1808040902,6.0
1808050202,38.0
3204000105,52.0
3204000106,2.0
1803011705,13.0
1803011706,17.0
1803011707,19.0
1803011708,15.0
1803011302,12.0
1803011003,13.0
1803020702,15.0
2003010301,32.0
7102030203,1.0
7108020102,7.0
1405010602,453.0
1401050902,374.0
4305050402,4.0
4301040202,112.0
5302070102,43.0
6701000604,14.0
6701000606,143.0
6701000607,29.0
6701000608,227.0
6701000609,1.0
2703030501,238.0
2703030701,149.0
6701000401,32.0
6701000601,150.0
6702040101,37.0
6701000201,247.0
6701000501,146.0
6702050101,389.0
2905020203,41.0
2905010604,10.0
2905010603,12.0
2905010607,6.0
2905010608,24.0
6702010901,464.0
6702010801,367.0
6702020101,185.0
6702030501,56.0
6702010701,217.0
6702030701,306.0
1801050701,568.0
2003020101,461.0
1805011601,57.0
2003014001,19.0
2003013601,23.0
5203000111,14.0
5203000504,70.0
5901010404,60.0
5901010502,219.0
5401020306,30.0
2702010402,8.0
7202010204,25.0
7108010702,19.0
7108010203,18.0
7108010302,114.0
7107010302,4.0
7107010103,88.0
7107010104,6.0
7107030602,8.0
7107030102,53.0
2603040106,6.0
3903020102,3.0
4002001702,16.0
5203000404,236.0
5203000403,267.0
5203000405,10.0
5203000109,4.0
5203000112,76.0
5203000103,3.0
5207020302,29.0
5207020404,27.0
5207020402,130.0
5207020403,11.0
5901020303,90.0
2703010901,179.0
2703011601,222.0
2703030801,351.0
2703011001,92.0
2703010501,218.0
1305010407,16.0
7407000605,15.0
7407000405,18.0
2707030302,4.0
2707030305,13.0
2706010502,20.0
2706020102,18.0
2705020206,8.0
4404040502,5.0
6501000502,12.0
6501000506,17.0
7001020108,10.0
7001020502,52.0
6001010203,59.0
6001010202,24.0
2707030103,14.0
7203000603,2.0
7203000202,16.0
7108040103,28.0
7203000903,2.0
7203000904,0.0
6301000210,0.0
6301000122,3.0
5401010107,0.0
3805000402,57.0
3805000607,25.0
4403070703,4.0
3803010602,7.0
6904000104,14.0
6501000407,6.0
6501000110,33.0
6501000107,3.0
4910020102,2649.0
3804021002,22.0
3805000604,46.0
3805000609,40.0
4104020104,63.0
4104020105,102.0
3804021203,31.0
3804021204,6.0
3801010121,408.0
3704010303,10.0
3705011702,4.0
4104010103,18.0
4103020405,7.0
4103020105,25.0
4103020103,23.0
4103010103,3.0
4103020304,20.0
3705010107,11.0
3705010302,5.0
4401010903,17.0
6201010601,247.0
6201010901,188.0
6201020101,200.0
6901090701,300.0
6901090901,96.0
6901090101,1224.0
6901090301,124.0
6901090501,333.0
6901090401,484.0
6901080101,791.0
6901090601,160.0
2905030503,3.0
2905030505,10.0
2905020107,25.0
2905020103,4.0
2905020104,18.0
2905020105,14.0
4912010110,477.0
4912010105,441.0
4912010107,180.0
4912010106,148.0
4907000003,268.0
4911030103,579.0
4905030129,120.0
4905030159,13.0
4905030134,88.0
4905030143,54.0
4905030135,157.0
2103010701,112.0
2101030401,121.0
2101030201,96.0
2103010601,334.0
2103012001,100.0
1901040401,226.0
2103011701,408.0
5302070502,18.0
5301060202,3.0
5301060203,18.0
5301060603,11.0
5301060102,158.0
5301060103,1.0
5301060104,8.0
